cluster,gene
CCL2.THBS1 Fib,CTGF
CCL2.THBS1 Fib,NFKBIA
CCL2.THBS1 Fib,PLIN2
CCL2.THBS1 Fib,CD74
CCL2.THBS1 Fib,CDKN1C
APOE Fib,APOE
APOE Fib,AGT
APOE Fib,APOC1
APOE Fib,GGT5
APOE Fib,MARCKSL1
APOE Fib,HES4
APOE Fib,NOTCH3
APOE Fib,APLNR
APOE Fib,OLFM2
APOE Fib,CCDC102B
APOE Fib,GUCY1A1
APOE Fib,SLC16A12
APOE Fib,EMILIN1
APOE Fib,TNC
APOE Fib,COX4I2
APOE Fib,IGFBP7
APOE Fib,FOXS1
APOE Fib,SEMA5A
APOE Fib,ISYNA1
APOE Fib,TMEM108
APOE Fib,MDK
APOE Fib,HEYL
APOE Fib,NGFR
APOE Fib,THY1
APOE Fib,FRZB
APOE Fib,RNF152
APOE Fib,ANKRD29
APOE Fib,CCL2
APOE Fib,COL4A2
APOE Fib,COL4A1
APOE Fib,HEY1
APOE Fib,PDGFD
APOE Fib,FBLIM1
APOE Fib,LPL
APOE Fib,SPOCK1
APOE Fib,RGS5
APOE Fib,GPM6B
APOE Fib,COL1A1
APOE Fib,OLFML2B
APOE Fib,COL3A1
APOE Fib,GAS6
APOE Fib,CA2
APOE Fib,CYSLTR2
APOE Fib,ID4
APOE Fib,C1QTNF1
APOE Fib,COLEC11
APOE Fib,LRRC17
APOE Fib,IGFBP2
APOE Fib,COL18A1
APOE Fib,TMEM59L
APOE Fib,CXCL12
APOE Fib,ITM2C
APOE Fib,MATN2
APOE Fib,TMEM119
APOE Fib,PHLDA1
APOE Fib,PCOLCE
APOE Fib,CTSC
APOE Fib,PLPP1
APOE Fib,BGN
APOE Fib,RARRES2
APOE Fib,GUCY1B1
APOE Fib,DAAM1
APOE Fib,TPM2
APOE Fib,CLMN
APOE Fib,CLEC11A
APOE Fib,COL14A1
APOE Fib,SPON1
APOE Fib,ANO1
APOE Fib,CHCHD10
APOE Fib,IGFBP3
APOE Fib,COL1A2
APOE Fib,ENC1
APOE Fib,COL6A6
APOE Fib,SPARC
APOE Fib,A2M
APOE Fib,MYL9
APOE Fib,COL5A3
APOE Fib,SVIL
APOE Fib,IL11RA
APOE Fib,CPE
APOE Fib,AEBP1
APOE Fib,LAMA4
APOE Fib,NDRG2
APOE Fib,PGF
APOE Fib,MARCKS
APOE Fib,ACTN1
APOE Fib,MICAL2
APOE Fib,FRMD4A
APOE Fib,COL6A3
APOE Fib,DLC1
APOE Fib,ZEB2
APOE Fib,EPAS1
APOE Fib,KCNE4
APOE Fib,TSC22D1
APOE Fib,SLC9A3R2
APOE Fib,ID1
APOE Fib,PLA2G5
APOE Fib,LHFPL6
APOE Fib,ITGA1
APOE Fib,PTGDS
APOE Fib,NFIB
APOE Fib,RASD1
APOE Fib,STK17B
APOE Fib,HES1
APOE Fib,EPHX1
APOE Fib,SYNJ2
APOE Fib,C7
APOE Fib,SPATS2L
APOE Fib,SPARCL1
APOE Fib,FMO2
APOE Fib,LMCD1
APOE Fib,TPT1
APOE Fib,MGP
APOE Fib,KANK1
APOE Fib,CYGB
APOE Fib,EVL
APOE Fib,CRISPLD2
APOE Fib,SRPX
APOE Fib,PDGFRB
APOE Fib,F10
APOE Fib,RPS4X
APOE Fib,AMOTL1
