cluster,gene
CXCL10+CCL19+ C11 Marginal,CFB
CXCL10+CCL19+ C11 Marginal,CHI3L1
CXCL10+CCL19+ C11 Marginal,ADAMDEC1
CXCL10+CCL19+ C11 Marginal,LGI2
CXCL10+CCL19+ C11 Marginal,FAM107A
CXCL10+CCL19+ C11 Marginal,LCP1
CXCL10+CCL19+ C11 Marginal,RFTN1
CXCL10+CCL19+ C11 Marginal,COL4A4
CXCL10+CCL19+ C11 Marginal,CD83
CXCL10+CCL19+ C11 Marginal,CHST15
CXCL10+CCL19+ C11 Marginal,GBP3
CXCL10+CCL19+ C11 Marginal,ACSL5
CXCL10+CCL19+ C11 Marginal,TRAF3
CXCL10+CCL19+ C11 Marginal,NINJ1
CXCL10+CCL19+ C11 Marginal,PSMB8
CXCL10+CCL19+ C11 Marginal,HLA-B
CXCL10+CCL19+ C11 Marginal,NFE2L3
CXCL10+CCL19+ C11 Marginal,DENND2D
CXCL10+CCL19+ C11 Marginal,MAPK11
CXCL10+CCL19+ C11 Marginal,C1orf54
CXCL10+CCL19+ C11 Marginal,PDZRN4
CXCL10+CCL19+ C11 Marginal,PSMB10
CXCL10+CCL19+ C11 Marginal,NFKBIA
CXCL10+CCL19+ C11 Marginal,IKBKE
CXCL10+CCL19+ C11 Marginal,ABHD17C
CXCL10+CCL19+ C11 Marginal,USP18
CXCL10+CCL19+ C11 Marginal,SPINT1
CXCL10+CCL19+ C11 Marginal,TNFRSF14
CXCL10+CCL19+ C11 Marginal,FAM216B
CXCL10+CCL19+ C11 Marginal,TRIM47
CXCL10+CCL19+ C11 Marginal,HIVEP3
CXCL10+CCL19+ C11 Marginal,IFI6
CXCL10+CCL19+ C11 Marginal,RBP1
CXCL10+CCL19+ C11 Marginal,TNIP1
CXCL10+CCL19+ C11 Marginal,ARHGAP15
CXCL10+CCL19+ C11 Marginal,PRSS36
CXCL10+CCL19+ C11 Marginal,RARB
CXCL10+CCL19+ C11 Marginal,TMEM176A
CXCL10+CCL19+ C11 Marginal,SPOCK2
CXCL10+CCL19+ C11 Marginal,PPA1
CXCL10+CCL19+ C11 Marginal,ALPL
CXCL10+CCL19+ C11 Marginal,KCND3
CXCL10+CCL19+ C11 Marginal,PTGFR
CXCL10+CCL19+ C11 Marginal,KIAA1755
CXCL10+CCL19+ C11 Marginal,IFI44
CXCL10+CCL19+ C11 Marginal,ADM2
CXCL10+CCL19+ C11 Marginal,WIPF3
CXCL10+CCL19+ C11 Marginal,MYZAP
CXCL10+CCL19+ C11 Marginal,PLEKHA6
CXCL10+CCL19+ C11 Marginal,LRRC4C
CXCL10+CCL19+ C11 Marginal,RIPK2
CXCL10+CCL19+ C11 Marginal,ADAMTS4
CXCL10+CCL19+ C11 Marginal,LST1
CXCL10+CCL19+ C11 Marginal,TGM2
CXCL10+CCL19+ C11 Marginal,LY6E
CXCL10+CCL19+ C11 Marginal,TNFSF4
CXCL10+CCL19+ C11 Marginal,GUCY1B1
CXCL10+CCL19+ C11 Marginal,MDK
CXCL10+CCL19+ C11 Marginal,GIMAP7
CXCL10+CCL19+ C11 Marginal,SEPTIN4
CXCL10+CCL19+ C11 Marginal,CD24
CXCL10+CCL19+ C11 Marginal,JCAD
CXCL10+CCL19+ C11 Marginal,CSTA
CXCL10+CCL19+ C11 Marginal,C2CD2
CXCL10+CCL19+ C11 Marginal,MAOB
CXCL10+CCL19+ C11 Marginal,TRIM22
CXCL10+CCL19+ C11 Marginal,SNX10
CXCL10+CCL19+ C11 Marginal,NNMT
CXCL10+CCL19+ C11 Marginal,LBHD2
CXCL10+CCL19+ C11 Marginal,DPYSL4
CXCL10+CCL19+ C11 Marginal,PRKAR2B
CXCL10+CCL19+ C11 Marginal,XAF1
CXCL10+CCL19+ C11 Marginal,RARRES2
CXCL10+CCL19+ C11 Marginal,HPGD
CXCL10+CCL19+ C11 Marginal,NKX3-1
CXCL10+CCL19+ C11 Marginal,IRF2
CXCL10+CCL19+ C11 Marginal,GPR137
CXCL10+CCL19+ C11 Marginal,FAIM2
CXCL10+CCL19+ C11 Marginal,LIFR
CXCL10+CCL19+ C11 Marginal,VASH2
CXCL10+CCL19+ C11 Marginal,GUCY1A1
CXCL10+CCL19+ C11 Marginal,BACE2
CXCL10+CCL19+ C11 Marginal,SLC22A3
CXCL10+CCL19+ C11 Marginal,TP63
CXCL10+CCL19+ C11 Marginal,TMEM255A
CXCL10+CCL19+ C11 Marginal,IL6
CXCL10+CCL19+ C11 Marginal,SOCS1
CXCL10+CCL19+ C11 Marginal,BTN2A2
CXCL10+CCL19+ C11 Marginal,FDCSP
CXCL10+CCL19+ C11 Marginal,SLC35F2
CXCL10+CCL19+ C11 Marginal,ARL9
CXCL10+CCL19+ C11 Marginal,TNFSF11
CXCL10+CCL19+ C11 Marginal,PTPRC
CXCL10+CCL19+ C11 Marginal,APOL6
CXCL10+CCL19+ C11 Marginal,MEOX1
CXCL10+CCL19+ C11 Marginal,NOTCH3
CXCL10+CCL19+ C11 Marginal,RRAD
CXCL10+CCL19+ C11 Marginal,TMEM150C
CXCL10+CCL19+ C11 Marginal,CD38
CXCL10+CCL19+ C11 Marginal,PPDPFL
CXCL10+CCL19+ C11 Marginal,LOXL1
CXCL10+CCL19+ C11 Marginal,CH25H
CXCL10+CCL19+ C11 Marginal,APOBEC3G
