cluster,gene
c03,IL6ST
c03,CPQ
c03,SON
c03,FGFR1
c03,EGR1
c03,NUPR1
c03,ZFP36
c03,FSTL1
c03,ANXA1
c03,KLF4
c03,BDH2
c03,TSPAN4
c03,PRCP
c03,HSD17B11
c03,VAT1
c03,TSC22D3
c03,SCARA5
c03,ELN
c03,GPX4
c03,LGALS3BP
c03,TMX4
c03,TRIP10
c03,SNHG8
c03,FIBIN
c03,COL6A2
c03,PAM
c03,TRAM1
c03,SMARCA2
c03,LUM
c03,FOS
c03,MXRA8
c03,AZI2
c03,DPYSL2
c03,ITM2B
c03,MPZL1
c03,MBNL1
c03,ECM2
c03,N4BP2L2
c03,CPNE3
c04,MMP11
c04,COL11A1
c04,COL1A1
c04,CTHRC1
c04,COL10A1
c04,COL1A2
c04,COL12A1
c04,THBS2
c04,COL5A2
c04,POSTN
c04,COL3A1
c04,SDC1
c04,COL5A1
c04,AEBP1
c04,FN1
c04,SPARC
c04,MFAP2
c04,COL8A1
c04,MMP14
c04,SULF1
c04,VCAN
c04,COL6A3
c04,MXRA5
c04,SFRP2
c04,INHBA
c04,ASPN
c04,ANTXR1
c04,COMP
c04,LRRC15
c04,ADAM12
c04,GJB2
c04,COL6A1
c04,FNDC1
c04,CDH11
c04,CHPF
c04,CTSK
c04,MMP2
c04,CTSB
c04,IFI27
c04,ITGA11
c04,ATP5F1E
c04,RAB31
c04,FAP
c04,MYH9
c04,PLAU
c04,CNN2
c04,GRP
c04,DPYSL3
c04,ITGB5
c04,LGALS1
c04,HTRA3
c04,ISLR
c04,TIMP2
c04,CD99
c04,SULF2
c04,BGN
c04,MDK
c04,IFI6
c04,NREP
c04,CERCAM
c04,PXDN
c04,SERPINH1
c04,C1QTNF3
c04,FLNA
c04,FBN1
c04,COL8A2
c04,COL6A2
c04,MXRA8
c04,PTK7
c04,MT-ATP8
c04,SFRP4
c04,LOXL2
c04,KIAA1217
c04,MT-ND4L
c04,VMP1
c04,TMSB10
c04,RARRES2
c04,LOXL1
c04,GREM1
c04,MATN3
c04,NBL1
c04,CALU
c04,PALLD
c04,PRSS23
c04,ADAMTS2
c04,DIO2
c04,LOX
c04,TIMP3
c04,TPM4
c04,ACTB
c04,RUNX2
c04,PLXDC2
c04,HSPG2
c04,GJA1
c04,RCN3
c04,C4orf48
c04,PLEC
c04,CILP
c04,COL16A1
c04,UNC5B
c04,ITGBL1
c04,SELENOM
c04,CAVIN1
c04,LUM
c04,NRP2
c04,CMTM3
c04,TPM1
c04,CAVIN3
c04,P4HB
c04,F13A1
c04,PMEPA1
c04,ACTN1
c04,THY1
c04,GALNT1
c04,MIF
c04,PLPP4
c04,ELOB
c04,PTTG1IP
c04,NTM
c04,ARL4C
c04,SUGCT
c04,C1QTNF6
c04,S100A16
c04,MARCKS
c04,PDLIM7
c04,MRC2
c04,FIBIN
c04,PODNL1
c04,CREB3L1
c04,MICAL2
c04,KIF26B
c04,HDLBP
c04,THBS1
c04,ISG15
c04,RAI14
c04,FBLN2
c04,RTL8C
c04,SLC44A1
c04,MYDGF
c04,RUNX1
c04,OSTC
c04,SPOCK1
c04,ADAMTS12
c04,PLOD2
c04,IGFBP3
c04,HCFC1R1
c04,OLFML2B
c04,SPHK1
c04,IL32
c04,FKBP9
c04,TGFBI
c04,ITGB1
c04,NUAK1
c04,PPIC
c04,CKAP4
c04,SPATS2L
c04,FKBP10
c04,GXYLT2
c04,PCDH7
c04,FSCN1
c04,LTBP2
c04,FAM198B
c04,PPIB
c04,SPON2
c04,MT-ND6
c04,S100A11
c04,GAS1
c04,SH3PXD2A
c04,RRBP1
c04,KDELR2
c04,GOLM1
c04,LY6E
c04,FBXO32
c04,HMCN1
c04,SERF2
c04,NOX4
c04,MARVELD1
c04,SLC16A3
c04,TAGLN
c04,LMO7
c04,PTGFRN
c04,PYCR1
c04,OST4
c04,CLEC11A
c04,EDIL3
c04,BMP1
c04,HTRA1
c04,TNFRSF12A
c04,PDLIM5
c04,SSR3
c04,PLAUR
c04,SEPT11
c04,SLC6A6
c04,SPON1
c04,ATP5MC2
c04,SELENOW
c04,LRP1
c04,FZD1
c04,STMP1
c04,PRRX1
c04,PPFIBP1
c04,RIN2
c04,MAGED1
c04,P3H4
c04,GPX8
c04,CADM1
c04,ATP5ME
c04,PKM
c04,P3H1
c04,NME2
c04,PDGFC
c04,VGLL4
c04,P3H3
c04,FRMD6
c04,ATP5MF
c04,MTRNR2L12
c04,MT-CO2
c04,CLIC4
c04,MINDY2
c04,SMCO4
c04,WISP1
c04,SCARF2
c04,TCF4
c04,BNC2
c04,PLOD1
c04,SEC31A
c04,CTSZ
c04,GLIS2
c04,PERP
c04,ITGAV
c04,KDELR3
c04,CAPZB
c04,CDKN2A
c04,HEG1
c04,MYOF
c04,ARF4
c04,ENAH
c04,BEX3
c04,LMCD1
c04,GAPDH
c04,GPX7
c04,NCOR2
c04,FAM114A1
c04,ATP5MG
c04,DAP
c04,CFL1
c04,ZYX
c04,EFEMP2
c04,MSRB3
c04,C11orf24
c04,NID2
c04,ANKH
c04,SELENOH
c04,ALDH1B1
c04,TMEM158
c04,SH3PXD2B
c04,PLXNC1
c04,CD55
c04,CTNNB1
c04,GPC1
c04,METTL26
c04,FSTL1
c04,SEC24D
c04,PPDPF
c04,GLT8D2
c04,MT-ND3
c04,ITGA5
c04,PAM
c04,WNT2
c04,MT-ND5
c04,MYL6
c04,NORAD
c04,SRPX2
c04,STAT2
c04,PDGFRL
c04,ATP5MPL
c04,TTC3
c04,FLNB
c04,SLC39A13
c04,PRICKLE1
c04,ZNF469
c04,MYO1D
c04,RNF144A
c04,LMAN1
c04,MRPS6
c04,PDLIM2
c04,COL5A3
c04,SEC61A1
c04,ACTG1
c04,STAT1
c04,FOSL2
c04,COPS9
c04,C9orf16
c04,TMEM45A
c04,TPM2
c04,TSPO
c04,TMEM167A
c04,EMILIN1
c04,ATXN1
c04,SEM1
c04,CD276
c04,ATP5MC3
c04,CRABP2
c04,PODN
c04,FOXP1
c04,GLMP
c04,C19orf53
c04,TMED9
c04,ZFHX4
c04,ATP5PF
c04,TPST2
c04,A1BG
c04,ELN
c04,CTGF
c04,GABARAP
c04,CAPG
c04,TMED3
c04,WIPF1
c04,VOPP1
